order_date,order_id,order_state,title,Size
02/12/2023 - 08:35:35,DUX023661671-A,Order Dispatched,Men's Leather Gloves Tan: GB-520,L/XL
02/12/2023 - 08:35:35,DUX023661671-A,Order Refunded,Men's Leather Gloves Tan: GB-520,M/L
02/01/2024 - 21:59:15,DUX025134663-A,Order Dispatched,Womens Leather Fashion Single Breasted Blazer Black: AWL-Blazer,22
02/01/2024 - 21:59:15,DUX025134663-A,Order Refunded,Womens Leather Fashion Single Breasted Blazer Black: AWL-Blazer,20
01/04/2024 - 16:25:15,DUX027239024-A,Order Refunded,Ashwood Leather Jacket Black: Aliona,18
01/04/2024 - 16:25:15,DUX027239024-A,Order Dispatched,Ashwood Leather Jacket Black: Aliona,20
11/04/2024 - 16:45:25,DUX027473046-A,Order Refunded,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80,20
11/04/2024 - 16:45:25,DUX027473046-A,Order Dispatched,Ladies Veg Tanned Leather Biker Jacket Tan: AWL-80,22
15/04/2024 - 13:10:01,DUX027570813-A,Order Dispatched,Leather Biker Style Jacket Tan : Awl-1201,18
15/04/2024 - 13:10:01,DUX027570813-A,Order Refunded,Leather Biker Style Jacket Tan : Awl-1201,16
09/03/2023 - 12:53:11,DUX009365519-A,Order Dispatched,'Chic' Croc Embossed Leather Medium Saddle Shoulder Bag,(No assigned size)
09/03/2023 - 12:53:11,DUX009365519-A,Order Refunded,'Chic' Croc Embossed Leather Medium Saddle Shoulder Bag,(No assigned size)
30/03/2023 - 16:41:32,DUX009543416-A,Order Dispatched,'Heaven' Real Leather Cross Body Bag,(No assigned size)
30/03/2023 - 16:41:32,DUX009543416-A,Order Refunded,'Heaven' Real Leather Cross Body Bag,(No assigned size)
